order_id,customer_id,order_date,product_category,payment_method,price,quantity,discount,order_status,rating
25795,1396,2023-02-07,,NetBanking,1151.21,3,0,,5
10860,3879,2022-11-27,Electronics,NetBanking,1284.59,2,20,Cancelled,3
86820,1304,2023-04-28,Home,UPI,2580.47,1,,,5
64886,2042,2022-06-16,Beauty,COD,2242.78,4,10,,1
16265,4454,2023-05-15,Fashion,Card,3344.06,3,5,Cancelled,3
92386,2986,2022-04-04,Beauty,UPI,2237.92,1,5,Delivered,4
47194,3273,2022-06-29,Fashion,Card,2196.63,1,20,Returned,3
97498,2253,2022-12-16,Electronics,NetBanking,2805.3,1,20,Returned,1
54131,1850,2022-08-27,Beauty,COD,4272.83,1,20,Delivered,3
70263,2631,2022-07-22,Fashion,,4480.13,3,,,5
26023,1494,2022-08-02,Beauty,COD,1448.39,2,10,,2
51090,4555,2022-09-23,Fashion,,2034.05,,5,Delivered,
77221,3674,2022-04-17,Electronics,COD,3440.1,,10,Cancelled,5
74820,4430,2023-01-09,,COD,-627.55,3,10,,2
10769,4763,2022-09-28,Fashion,Card,1349.65,4,20,,5
69735,4444,2022-11-12,Home,,2798.38,4,,Cancelled,4
72955,4149,2022-02-04,,,3229.68,1,0,Delivered,5
74925,3374,2023-07-01,Beauty,,2605.65,,10,Cancelled,5
77969,4347,2022-01-01,Beauty,COD,2593.39,,0,Returned,3
15311,4423,2023-07-13,Beauty,Card,780.17,1,0,Returned,4
93104,4949,2022-04-19,Home,Card,1561.93,3,,Delivered,1
63707,2205,2022-04-21,Home,COD,2174.23,1,,,2
95305,1504,2022-09-02,Home,UPI,1596.27,3,0,Cancelled,4
38693,1606,2022-10-01,Home,NetBanking,1506.3,3,5,Cancelled,3
81932,4669,2022-01-26,Home,COD,3491.7,,20,Delivered,
35658,2412,2022-11-12,Home,UPI,3878.23,2,5,Cancelled,4
94478,3654,2023-10-20,,,3021.64,3,,Cancelled,3
28431,4406,2022-11-15,,COD,3736.65,3,,Cancelled,2
12747,4051,2023-07-07,Beauty,NetBanking,512.89,3,0,Delivered,2
69150,4517,2023-12-23,Home,Card,2226.84,1,5,Delivered,
75725,3556,2022-02-12,Electronics,NetBanking,2968.33,,20,Delivered,5
